,occSch.occupied,modCon.y,senSupFlo.V_flow,TSup.T,conAHU.TSupSet,chi.TSet,iceTan.TOutSet,TCHWSup.T,TCHWRetCoi.T,conVAVCor.TZon,conVAVSou.TZon,conVAVEas.TZon,conVAVNor.TZon,conVAVWes.TZon,iceTan.SOC,TOut.y,weaBus.TWetBul,chi.on,iceTan.stoCon.y,chi.P,priPum.P,secPum.P,fanSup.P
18579420.0,0.0,1.0,0.0008034418259631027,293.18901796481714,294.15,283.15,283.15,293.15,293.15,297.2856435886471,297.35337693594556,297.2822809444744,297.2808259356681,297.34459512058174,0.5,299.26536553030303,297.2759811022625,0.0,1.0,0.0,0.0,0.0,-4.720890345257239e-08
18579480.0,0.0,1.0,0.000803498786249053,293.1889052494159,294.15,283.15,283.15,293.15,293.15,297.2863846757898,297.3536934897853,297.2837247468833,297.28229372228907,297.34600677088224,0.5,299.26036644219977,297.2714637564823,0.0,1.0,0.0,0.0,0.0,-4.7215597506619126e-08
18579540.0,0.0,1.0,0.0008035632492612179,293.1887952886233,294.15,283.15,283.15,293.15,293.15,297.2870911691223,297.353960505043,297.28509511845147,297.28368467626495,297.3473531784715,0.5,299.25524361672274,297.26672458288425,0.0,1.0,0.0,0.0,0.0,-4.722317386482528e-08
18579600.0,0.0,1.0,0.0008036411712304739,293.1886891188335,294.15,283.15,283.15,293.15,293.15,297.287757081749,297.3541569658656,297.28637856994214,297.28498548288417,297.3486212275499,0.5,299.25,297.26176070045767,0.0,1.0,0.0,0.0,0.0,-4.723233287093911e-08
18579600.0,0.0,1.0,0.0008036411712304739,293.1886891188335,294.15,283.15,283.15,293.15,293.15,297.287757081749,297.3541569658656,297.28637856994214,297.28498548288417,297.3486212275499,0.5,299.25,297.26176070045767,0.0,1.0,0.0,0.0,0.0,-4.723233287093911e-08
18579660.0,0.0,1.0,0.0008037267744139519,293.1885846222282,294.15,283.15,283.15,293.15,293.15,297.2884061886775,297.35431064750145,297.2876238040548,297.28624710217355,297.34985015816017,0.5,299.24256485690233,297.2546421988063,0.0,1.0,0.0,0.0,0.0,-4.724239575691127e-08
18579720.0,0.0,1.0,0.0008038345301075021,293.1884837087184,294.15,283.15,283.15,293.15,293.15,297.28901979606627,297.3543609612217,297.28879171221126,297.28742983530685,297.3509941910012,0.5,299.2309632996633,297.24353475750866,0.0,1.0,0.0,0.0,0.0,-4.725506425572449e-08
18579780.0,0.0,1.0,0.0008039503076292582,293.1883829702886,294.15,283.15,283.15,293.15,293.15,297.28963258745097,297.35440202401935,297.2899548944417,297.2886078156087,297.3521313499882,0.5,299.2153420454545,297.2285788948585,0.0,1.0,0.0,0.0,0.0,-4.72686777490617e-08
18579840.0,0.0,1.0,0.0008040981737697424,293.1882848054502,294.15,283.15,283.15,293.15,293.15,297.290220265525,297.3543312536091,297.2910625872127,297.28973005440605,297.35318891822,0.5,299.1958478114478,297.2099151433371,0.0,1.0,0.0,0.0,0.0,-4.7286067178469765e-08
18579900.0,0.0,1.0,0.0008042699442192338,293.18818898271445,294.15,283.15,283.15,293.15,293.15,297.29078681924614,297.3541474283654,297.2921197476282,297.2908019830205,297.3541681346914,0.5,299.1726273148148,297.1876840475346,0.0,1.0,0.0,0.0,0.0,-4.730627183092842e-08
